(0.00, 0.00, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.00, 0.13, 0.00)
(0.01, 0.14, 0.00)
(0.02, 0.14, 0.00)
(0.03, 0.14, 0.00)
(0.07, 0.15, -0.01)
(0.09, 0.15, -0.01)
